"%1 details","Detalles de %1"
"%1 [Trace ID: %2]","%1 [Trace ID: %2]"
"%1 could not be reached to verify this API key. This is a connection problem rather than necessarily a problem with the key. Check that this store can make outbound requests, then try again.","No se ha podido contactar con %1 para verificar esta clave API. Se trata de un problema de conexión y no necesariamente de un problema con la clave. Comprueba que esta tienda pueda realizar solicitudes salientes e inténtalo de nuevo."
"%1 could not verify this API key because the service returned an error (HTTP %2). The key itself may be fine, so please try again shortly.","%1 no ha podido verificar esta clave API porque el servicio ha devuelto un error (HTTP %2). Puede que la clave sea correcta, así que inténtalo de nuevo en unos instantes."
"%1 customer address updated.","Dirección del cliente de %1 actualizada."
"%1 is a payment solution for B2B purchases online, allowing you to buy from your favourite merchants and suppliers on trade credit. Using %1, you can access flexible trade credit instantly to make purchasing simple.","%1 es una solución de pago para compras B2B en línea que te permite comprar a tus comerciantes y proveedores favoritos mediante crédito comercial. Con %1, puedes acceder al instante a crédito comercial flexible para simplificar tus compras."
"%1 order has been marked as cancelled","El pedido de %1 se ha marcado como cancelado"
"%1 order marked as completed.","Pedido de %1 marcado como completado."
"%1 order marked as partially completed.","Pedido de %1 marcado como parcialmente completado."
"%1 payment has been verified by the customer.","El pago de %1 ha sido verificado por el cliente."
"%1 requires whole order to be shipped before it can be fulfilled.","%1 requiere que se envíe el pedido completo antes de poder cumplirlo."
"%1 returned an unexpected response while verifying this API key, so it could not be confirmed. Please try again shortly.","%1 ha devuelto una respuesta inesperada al verificar esta clave API, por lo que no se ha podido confirmar. Inténtalo de nuevo en unos instantes."
"%1 terms and conditions","Términos y condiciones de %1"
"* Required Fields","* Campos obligatorios"
"Click to find out more","Haz clic para saber más"
"Show PO number field","Mostrar el campo de número de pedido de compra"
"This API key could not be verified by %1 (HTTP %2).","%1 no ha podido verificar esta clave API (HTTP %2)."
"This API key was rejected by %1. It may be invalid, expired, or issued for a different environment.","%1 ha rechazado esta clave API. Puede que no sea válida, que haya caducado o que se haya emitido para otro entorno."
"Show department field","Mostrar el campo de departamento"
"Show order note field","Mostrar el campo de nota del pedido"
"Show project field","Mostrar el campo de proyecto"
"Allowed countries","Países permitidos"
"Choose whether to enable this payment method for all allowed countries or only specific ones.","Elige si quieres habilitar este método de pago para todos los países permitidos o solo para algunos."
"Country availability","Disponibilidad por país"
"Select the countries where this payment method should be available.","Selecciona los países en los que debe estar disponible este método de pago."
"Amount is missing","Falta el importe"
"Business Invoice","Factura de empresa"
"Buy now, receive your goods, pay your invoice later.","Compra ahora, recibe tus productos y paga tu factura más tarde."
"Checking availability","Comprobando disponibilidad"
"Check last 100 debug log records","Comprobar los últimos 100 registros de depuración"
"Check last 100 error log records","Comprobar los últimos 100 registros de errores"
"City","Ciudad"
"%1 is not valid.","%1 no es válido."
"%1: %2.","%1: %2."
"Click here to log in or sign up as a Sole Trader.","Haz clic aquí para iniciar sesión o registrarte como autónomo."
"Company Number","Número de empresa"
"Company Name","Nombre de la empresa"
"Could not initiate capture with %1","No se ha podido iniciar la captura con %1"
"Could not initiate refund with %1","No se ha podido iniciar el reembolso con %1"
"Could not update %1 order status to cancelled. Please contact support with order ID %2. Error: %3","No se ha podido actualizar el estado del pedido de %1 a cancelado. Ponte en contacto con el servicio de asistencia indicando el ID de pedido %2. Error: %3"
